"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"SOFT COMPUTING","SOFT COMPUT","SPRINGER","1432-7643","1433-7479","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","20,544","2.5","Q3","0.55","4.93"%,
"Harvard Data Science Review","HARVARD DATA SCI REV","MIT PRESS","2688-8513","2644-2353","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","792","2.5","Q3","0.41","99.06"%,
"MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY","MATCH-COMMUN MATH CO","UNIV KRAGUJEVAC, FAC SCIENCE","0340-6253","N/A","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,476","2.4","Q3","0.8","0"%,
"SAR AND QSAR IN ENVIRONMENTAL RESEARCH","SAR QSAR ENVIRON RES","TAYLOR & FRANCIS LTD","1062-936X","1029-046X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,422","2.4","Q3","0.59","2.65"%,
"Entertainment Computing","ENTERTAIN COMPUT","ELSEVIER SCI LTD","1875-9521","1875-953X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,348","2.4","Q3","0.56","16.11"%,
"International Journal of Interactive Multimedia and Artificial Intelligence","INT J INTERACT MULTI","UNIV INT RIOJA-UNIR","1989-1660","1989-1660","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,271","2.4","Q3","0.55","99.49"%,
"Frontiers in Blockchain","FRONT BLOCKCHAIN","FRONTIERS MEDIA SA","2624-7852","2624-7852","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","558","2.4","Q3","0.44","100"%,
"Frontiers in Big Data","FRONT BIG DATA","FRONTIERS MEDIA SA","N/A","2624-909X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,604","2.3","Q3","0.47","99.08"%,
"AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING","AI EDAM","CAMBRIDGE UNIV PRESS","0890-0604","1469-1760","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","885","2.3","Q3","0.46","30.23"%,
"Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices","COMPUT SUPP COOP W J","SPRINGER","0925-9724","1573-7551","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,165","2.3","Q3","0.4","69.62"%,
"JOURNAL OF VISUALIZATION","J VISUAL-JAPAN","SPRINGER","1343-8875","1875-8975","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,721","2.3","Q3","0.28","15.45"%,
"ACM Journal on Computing and Cultural Heritage","ACM J COMPUT CULT HE","ASSOC COMPUTING MACHINERY","1556-4673","1556-4711","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,149","2.2","Q3","2.28","7.14"%,
"COMPUTER APPLICATIONS IN ENGINEERING EDUCATION","COMPUT APPL ENG EDUC","WILEY","1061-3773","1099-0542","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,307","2.2","Q3","0.68","24.5"%,
"International Journal of Mobile Learning and Organisation","INT J MOB LEARN ORG","INDERSCIENCE ENTERPRISES LTD","1746-725X","1746-7268","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","424","2.2","Q3","0.62","1.32"%,
"Forensic Science International-Digital Investigation","FORENS SCI INT-DIGIT","ELSEVIER SCI LTD","N/A","2666-2817","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","884","2.2","Q3","0.5","67.36"%,
"INFORMS JOURNAL ON COMPUTING","INFORMS J COMPUT","INFORMS","1091-9856","1526-5528","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,246","2.1","Q3","0.49","0"%,
"COMPUTATIONAL GEOSCIENCES","COMPUTAT GEOSCI","SPRINGER","1420-0597","1573-1499","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,910","2","Q3","0.81","30.54"%,
"Big Data","BIG DATA-US","MARY ANN LIEBERT, INC","N/A","2167-647X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,425","2","Q3","0.46","7.69"%,
"SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL","SIMUL-T SOC MOD SIM","SAGE PUBLICATIONS LTD","0037-5497","1741-3133","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,928","2","Q3","0.41","14.71"%,
"Engineering Reports","ENG REP","WILEY","N/A","2577-8196","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,733","2","Q3","0.37","89.76"%,
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","SPRINGERNATURE","2524-521X","2524-5228","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","296","2","Q3","0.36","7.14"%,
"ENGINEERING COMPUTATIONS","ENG COMPUTATION","EMERALD GROUP PUBLISHING LTD","0264-4401","1758-7077","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,063","1.9","Q3","1.24","0"%,
"ACM Transactions on Modeling and Computer Simulation","ACM T MODEL COMPUT S","ASSOC COMPUTING MACHINERY","1049-3301","1558-1195","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","831","1.9","Q3","0.55","10.67"%,
"JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE","J ORG COMP ELECT COM","TAYLOR & FRANCIS INC","1091-9392","1532-7744","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","610","1.9","Q3","0.51","8"%,
"CIN-COMPUTERS INFORMATICS NURSING","CIN-COMPUT INFORM NU","LIPPINCOTT WILLIAMS & WILKINS","1538-2931","1538-9774","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,941","1.9","Q3","0.48","12.26"%,
"COMPUTING IN SCIENCE & ENGINEERING","COMPUT SCI ENG","IEEE COMPUTER SOC","1521-9615","1558-366X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","7,998","1.9","Q3","0.38","24.06"%,
"CCF Transactions on High Performance Computing","CCF T HIGH PERFORM C","SPRINGERNATURE","2524-4922","2524-4930","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","253","1.9","Q3","0.35","13.21"%,
"MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS","MATH COMP MODEL DYN","TAYLOR & FRANCIS INC","1387-3954","1744-5051","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","659","1.8","Q3","0.75","100"%,
"INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS","INT J NUMER METH FL","WILEY","0271-2091","1097-0363","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","7,251","1.8","Q3","0.51","25"%,
"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","INT J INF TECH DECIS","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6220","1793-6845","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,431","1.8","Q3","0.49","0.85"%,
"Astronomy and Computing","ASTRON COMPUT","ELSEVIER","2213-1337","2213-1345","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,408","1.8","Q3","0.42","23.02"%,
"Language Resources and Evaluation","LANG RESOUR EVAL","SPRINGER","1574-020X","1574-0218","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,554","1.8","Q3","0.34","48.85"%,
"International Journal of Sustainable Agricultural Management and Informatics","INT J SUST AGR MANAG","INDERSCIENCE ENTERPRISES LTD","2054-5819","2054-5827","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","153","1.8","Q3","0.3","0"%,
"Journal of Simulation","J SIMUL","TAYLOR & FRANCIS LTD","1747-7778","1747-7786","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","839","1.7","Q4","0.32","26.36"%,
"Journal of Algorithms & Computational Technology","J ALGORITHMS COMPUT","SAGE PUBLICATIONS LTD","1748-3018","1748-3026","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","323","1.7","Q4","0.24","97.62"%,
"Service Oriented Computing and Applications","SERV ORIENTED COMPUT","SPRINGERNATURE","1863-2386","1863-2394","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","307","1.7","Q4","0.23","6.19"%,
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","COMPUT STAT DATA AN","ELSEVIER","0167-9473","1872-7352","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","10,155","1.6","Q4","0.56","22.48"%,
"INTERNATIONAL JOURNAL OF MODERN PHYSICS C","INT J MOD PHYS C","WORLD SCIENTIFIC PUBL CO PTE LTD","0129-1831","1793-6586","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,686","1.6","Q4","0.5","0"%,
"JOURNAL OF COMPUTATIONAL BIOLOGY","J COMPUT BIOL","MARY ANN LIEBERT, INC","1066-5277","1557-8666","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,068","1.6","Q4","0.46","7.69"%,
"Current Computer-Aided Drug Design","CURR COMPUT-AID DRUG","BENTHAM SCIENCE PUBL LTD","1573-4099","1875-6697","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,291","1.6","Q4","0.37","3.96"%,
"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING","COMPUT METHOD BIOMEC","TAYLOR & FRANCIS LTD","1025-5842","1476-8259","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,179","1.6","Q4","0.34","7.92"%,
"International Journal of Intelligent Engineering Informatics","INT J INTELL ENG INF","INDERSCIENCE ENTERPRISES LTD","1758-8715","1758-8723","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","179","1.6","Q4","0.29","0"%,
"Computational and Mathematical Organization Theory","COMPUT MATH ORGAN TH","SPRINGER","1381-298X","1572-9346","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","581","1.5","Q4","0.52","28.21"%,
"Journal of Advances in Information Technology","J ADV INFORM TECHNOL","ENGINEERING & TECHNOLOGY PUBLISHING","1798-2340","1798-2340","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","677","1.5","Q4","0.3","99.23"%,
"International Journal of Online and Biomedical Engineering","INT J ONLINE BIOMED","Int Federation Engineering Education Societies-IFEES","N/A","2626-8493","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","958","1.4","Q4","0.3","99.8"%,
"JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","J STAT COMPUT SIM","TAYLOR & FRANCIS LTD","0094-9655","1563-5163","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,082","1.2","Q4","0.41","6.81"%,
"International Journal of Computational Science and Engineering","INT J COMPUT SCI ENG","INDERSCIENCE ENTERPRISES LTD","1742-7185","1742-7193","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,150","1.2","Q4","0.24","0"%,
"R Journal","R J","R FOUNDATION STATISTICAL COMPUTING","2073-4859","N/A","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","6,941","1.1","Q4","0.61","3.75"%,
"JOURNAL OF COMBINATORIAL OPTIMIZATION","J COMB OPTIM","SPRINGER","1382-6905","1573-2886","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,850","1.1","Q4","0.5","7.89"%,
"Acta Informatica Pragensia","ACTA INFORM PRAG","Prague Univ Economics and Business","N/A","1805-4951","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","106","1.1","Q4","0.31","98.67"%,
"COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING","COMPEL","EMERALD GROUP PUBLISHING LTD","0332-1649","0332-1649","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,076","1","Q4","0.35","7.32"%,
"IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA","IEEE REV IBEROAM TEC","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1932-8540","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","362","1","Q4","0.24","5.04"%,
"INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING","INT J RF MICROW C E","WILEY","1096-4290","1099-047X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,076","1","Q4","0.22","60.99"%,
"International Journal on Artificial Intelligence Tools","INT J ARTIF INTELL T","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-2130","1793-6349","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","692","1","Q4","0.19","3.35"%,
"International Journal of Digital Crime and Forensics","INT J DIGIT CRIME FO","IGI GLOBAL","1941-6210","1941-6229","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","150","1","Q4","0.15","93.75"%,
"Qwerty","QWERTY","PROGEDIT","1828-7344","2240-2950","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","100","1","Q4","0.15","94.29"%,
"International Journal of Arts and Technology","INT J ARTS TECHNOL","INDERSCIENCE ENTERPRISES LTD","1754-8853","1754-8861","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","120","1","Q4","0.11","0"%,
"JOURNAL OF NEW MUSIC RESEARCH","J NEW MUSIC RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0929-8215","1744-5027","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","627","0.9","Q4","1.52","46.3"%,
"ACM Transactions on Economics and Computation","ACM T ECON COMPUT","ASSOC COMPUTING MACHINERY","2167-8375","2167-8383","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","383","0.9","Q4","0.25","7.69"%,
"IET Cyber-Physical Systems: Theory & Applications","IET CYBER PHYS SYST","WILEY","N/A","2398-3396","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","456","0.8","Q4","0.28","97.3"%,
"International Journal of Gaming and Computer-Mediated Simulations","INT J GAMING COMPUT-","IGI GLOBAL","1942-3888","1942-3896","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","340","0.8","Q4","0.21","100"%,
"International Journal of Pervasive Computing and Communications","INT J PERVASIVE COMP","EMERALD GROUP PUBLISHING LTD","1742-7371","1742-738X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","300","0.8","Q4","0.19","6.49"%,
"QUEUEING SYSTEMS","QUEUEING SYST","SPRINGER","0257-0130","1572-9443","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,216","0.7","Q4","0.14","14.29"%,
"Romanian Journal of Information Technology and Automatic Control-Revista Romana de Informatica si Automatica","ROM J INF TECH AUT C","INST NATL CERCETARE-DEZVOLTARE INFORMATICA-ICI","1220-1758","1841-4303","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","130","0.7","Q4","0.14","100"%,
"APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING","APPL ALGEBR ENG COMM","SPRINGER","0938-1279","1432-0622","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","637","0.6","Q4","0.21","17.19"%,
"ACCESS-Access to science business innovation in the digital economy","ACCESS-ACCESS SCI BU","Access Press Publishing House","N/A","2683-1007","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","80","0.6","Q4","0.2","90.8"%,
"INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY","INT J COMPUT APPL T","INDERSCIENCE ENTERPRISES LTD","0952-8091","1741-5047","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","574","0.6","Q4","0.14","0"%,
"PATTERN RECOGNITION AND IMAGE ANALYSIS","PATTERN RECOGN IMAGE","SPRINGERNATURE","1054-6618","1555-6212","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","566","0.5","Q4","0.13","0.64"%,
"Parallel Processing Letters","PARALLEL PROCESS LET","WORLD SCIENTIFIC PUBL CO PTE LTD","0129-6264","1793-642X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","217","0.5","Q4","0.11","0"%,
"Journal of Information and Organizational Sciences","J INF ORGAN SCI","UNIV ZAGREB, FAC ORGANIZATION & INFORMATICS","1846-3312","1846-9418","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","134","0.5","Q4","0.1","98.67"%,
"Journal of Information Technology Research","J INF TECHNOL RES","IGI GLOBAL","1938-7857","1938-7865","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","145","0.5","Q4","0.08","98.65"%,
"International Journal of Agricultural and Environmental Information Systems","INT J AGRIC ENVIRON","IGI GLOBAL","1947-3192","1947-3206","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","134","0.4","Q4","0.25","92.86"%,
"ACM SIGecom Exchanges","ACM SIGECOM EXCH","ASSOC COMPUTING MACHINERY","1551-9031","1551-9031","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","152","0.4","Q4","0.17","0"%,
"IADIS-International Journal on Computer Science and Information Systems","IADIS-INT J COMPUT S","IADIS","1646-3692","1646-3692","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","52","0.4","Q4","0.05","0"%,
"Revista Brasileira de Computacao Aplicada","REV BRAS COMPUT APL","UNIV PASSO FUNDO","2176-6649","2176-6649","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","30","0.1","Q4","0.02","95.77"%,
"ERCIM News","ERCIM NEWS","EUROPEAN RESEARCH CONSORTIUM INFORMATICS & MATHEMATICS","0926-4981","1564-0094","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","94","0.1","Q4","0.01","0"%,

Copyright (c) 2025 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
