"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE","ENG APPL ARTIF INTEL","PERGAMON-ELSEVIER SCIENCE LTD","0952-1976","1873-6769","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","35,142","8","Q1","1.73","11.24"%,
"PATTERN RECOGNITION","PATTERN RECOGN","ELSEVIER SCI LTD","0031-3203","1873-5142","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","44,785","7.6","Q1","1.54","8.93"%,
"KNOWLEDGE-BASED SYSTEMS","KNOWL-BASED SYST","ELSEVIER","0950-7051","1872-7409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","44,949","7.6","Q1","1.32","9.23"%,
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","102,444","7.5","Q1","1.5","10.99"%,
"Patterns","PATTERNS","CELL PRESS","2666-3899","2666-3899","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","3,646","7.4","Q1","1.29","94.6"%,
"JOURNAL OF INTELLIGENT MANUFACTURING","J INTELL MANUF","SPRINGER","0956-5515","1572-8145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,691","7.4","Q1","1.09","26.23"%,
"Fuzzy Optimization and Decision Making","FUZZY OPTIM DECIS MA","SPRINGER","1568-4539","1573-2908","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,317","7.4","Q1","1.07","12.9"%,
"CAAI Transactions on Intelligence Technology","CAAI T INTELL TECHNO","WILEY","2468-6557","2468-2322","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,395","7.3","Q1","1.19","96.82"%,
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","MIT PRESS","N/A","2307-387X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,662","6.9","Q1","5.32","96.4"%,
"DECISION SUPPORT SYSTEMS","DECIS SUPPORT SYST","ELSEVIER","0167-9236","1873-5797","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","14,639","6.8","Q1","1.38","15.71"%,
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","ELSEVIER","1568-4946","1872-9681","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","48,350","6.6","Q1","1.34","6.9"%,
"ACM Transactions on Intelligent Systems and Technology","ACM T INTEL SYST TEC","ASSOC COMPUTING MACHINERY","2157-6904","2157-6912","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,244","6.6","Q1","1.1","5.28"%,
"IEEE Transactions on Emerging Topics in Computational Intelligence","IEEE T EM TOP COMP I","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2471-285X","2471-285X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,486","6.5","Q1","1.06","2.36"%,
"NEUROCOMPUTING","NEUROCOMPUTING","ELSEVIER","0925-2312","1872-8286","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","65,209","6.5","Q1","1.01","10.11"%,
"International Journal of Neural Systems","INT J NEURAL SYST","WORLD SCIENTIFIC PUBL CO PTE LTD","0129-0657","1793-6462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,333","6.4","Q1","1.12","13.12"%,
"NEURAL NETWORKS","NEURAL NETWORKS","PERGAMON-ELSEVIER SCIENCE LTD","0893-6080","1879-2782","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","29,552","6.3","Q1","1.45","13.7"%,
"Big Data Mining and Analytics","BIG DATA MIN ANAL","TSINGHUA UNIV PRESS","N/A","2096-0654","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,025","6.2","Q1","1.88","100"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","ELSEVIER","0933-3657","1873-2860","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","7,798","6.2","Q1","1.14","31.12"%,
"IEEE INTELLIGENT SYSTEMS","IEEE INTELL SYST","IEEE COMPUTER SOC","1541-1672","1941-1294","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,465","6.1","Q1","1.15","9.87"%,
"Advanced Intelligent Systems","ADV INTELL SYST-GER","WILEY","N/A","2640-4567","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,434","6.1","Q1","1.03","89.85"%,
"Machine Learning and Knowledge Extraction","MACH LEARN KNOW EXTR","MDPI","N/A","2504-4990","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,846","6","Q1","0.9","100"%,
"International Journal on Semantic Web and Information Systems","INT J SEMANT WEB INF","IGI GLOBAL","1552-6283","1552-6291","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","914","5.6","Q1","0.95","97.11"%,
"Artificial Intelligence in the Life Sciences","ARTIF INTEL LIFE SCI","ELSEVIER","N/A","2667-3185","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","365","5.4","Q1","0.71","92.59"%,
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","MIT PRESS","0891-2017","1530-9312","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,655","5.3","Q1","2.69","93.81"%,
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","IOS PRESS","1069-2509","1875-8835","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","735","5.3","Q1","1.35","29.17"%,
"IEEE Open Journal of Intelligent Transportation Systems","IEEE OPEN J INTEL TR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2687-7813","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","970","5.3","Q1","1","98.96"%,
"ROBOTICS AND AUTONOMOUS SYSTEMS","ROBOT AUTON SYST","ELSEVIER","0921-8890","1872-793X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,466","5.2","Q1","0.91","26.49"%,
"JOURNAL OF MACHINE LEARNING RESEARCH","J MACH LEARN RES","MICROTOME PUBL","1532-4435","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","57,358","5.2","Q1","0.81","0.09"%,
"IEEE Transactions on Biometrics, Behavior, and Identity Science","IEEE T BIOM BEHAV ID","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2637-6407","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,029","5","Q2","0.95","17.27"%,
"AI","AI-BASEL","MDPI","N/A","2673-2688","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","941","5","Q2","0.7","100"%,
"IEEE Transactions on Cognitive and Developmental Systems","IEEE T COGN DEV SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2379-8920","2379-8939","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,490","4.9","Q2","1.23","7.47"%,
"Machine Learning with Applications","MACH LEARN APPL-NETH","ELSEVIER","N/A","2666-8270","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,369","4.9","Q2","1.04","93.62"%,
"ACM Transactions on Interactive Intelligent Systems","ACM T INTERACT INTEL","ASSOC COMPUTING MACHINERY","2160-6455","2160-6463","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,782","4.8","Q2","0.78","12.09"%,
"Frontiers in Artificial Intelligence","FRONT ARTIF INTELL","FRONTIERS MEDIA SA","N/A","2624-8212","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","4,412","4.7","Q2","0.68","99.11"%,
"AI & Society","AI SOC","SPRINGER","0951-5666","1435-5655","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","4,767","4.7","Q2","0.63","57.29"%,
"Machine Learning-Science and Technology","MACH LEARN-SCI TECHN","IOP Publishing Ltd","N/A","2632-2153","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,413","4.6","Q2","1","99.68"%,
"ARTIFICIAL INTELLIGENCE","ARTIF INTELL-AMST","ELSEVIER","0004-3702","1872-7921","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,026","4.6","Q2","0.94","41.69"%,
"Complex & Intelligent Systems","COMPLEX INTELL SYST","SPRINGER HEIDELBERG","2199-4536","2198-6053","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,617","4.6","Q2","0.81","99.79"%,
"Brain Informatics","BRAIN INFORM","SPRINGERNATURE","2198-4018","2198-4026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","903","4.5","Q2","0.88","100"%,
"Big Data and Cognitive Computing","BIG DATA COGN COMPUT","MDPI","N/A","2504-2289","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,413","4.4","Q2","1.01","100"%,
"Quantum Machine Intelligence","QUANT MACH INTELL","SPRINGERNATURE","2524-4906","2524-4914","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","796","4.4","Q2","0.88","49.08"%,
"IEEE Transactions on Human-Machine Systems","IEEE T HUM-MACH SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2291","2168-2305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,543","4.4","Q2","0.64","11.79"%,
"Egyptian Informatics Journal","EGYPT INFORM J","CAIRO UNIV, FAC COMPUTERS & INFORMATION","1110-8665","2090-4754","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,443","4.3","Q2","1.1","95.85"%,
"Cognitive Computation","COGN COMPUT","SPRINGER","1866-9956","1866-9964","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,636","4.3","Q2","1.01","22.19"%,
"Intelligent Systems with Applications","INTELL SYST APPL","ELSEVIER","N/A","2667-3053","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,369","4.3","Q2","0.83","97.95"%,
"AUTONOMOUS ROBOTS","AUTON ROBOT","SPRINGER","0929-5593","1573-7527","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,960","4.3","Q2","0.78","44.22"%,
"DATA MINING AND KNOWLEDGE DISCOVERY","DATA MIN KNOWL DISC","SPRINGER","1384-5810","1573-756X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,983","4.3","Q2","0.76","50.78"%,
"APPLIED ARTIFICIAL INTELLIGENCE","APPL ARTIF INTELL","TAYLOR & FRANCIS INC","0883-9514","1087-6545","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,929","4.3","Q2","0.59","96.66"%,
"IMAGE AND VISION COMPUTING","IMAGE VISION COMPUT","ELSEVIER","0262-8856","1872-8138","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,737","4.2","Q2","1.01","7.42"%,
"Big Data Research","BIG DATA RES","ELSEVIER","2214-5796","2214-5796","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,150","4.2","Q2","0.85","8.93"%,
"JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH","J ARTIF INTELL RES","AI ACCESS FOUNDATION","1076-9757","1943-5037","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,956","4","Q2","0.78","3.08"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","ELSEVIER","0169-7439","1873-3239","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","11,913","3.8","Q2","1.07","21.68"%,
"INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS","INT J INTELL SYST","WILEY","0884-8173","1098-111X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,105","3.7","Q2","0.79","72.8"%,
"Intelligent Computing","INTELL COMPUT-WASH","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2771-5892","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","226","3.7","Q2","0.7","95.29"%,
"Inteligencia Artificial-Iberoamerican Journal of Artificial Intelligence","INTELIGENCIA ARTIFIC","ASOC ESPANOLA INTELIGENCIA ARTIFICIAL","1137-3601","1988-3064","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","524","3.7","Q2","0.15","80.56"%,
"International Journal of Fuzzy Systems","INT J FUZZY SYST","SPRINGER HEIDELBERG","1562-2479","2199-3211","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,339","3.6","Q2","0.78","5.5"%,
"Statistical Analysis and Data Mining-An Asa Data Science Journal","STAT ANAL DATA MIN","WILEY","1932-1864","1932-1872","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","946","3.6","Q2","0.66","31.25"%,
"Systems and Soft Computing","SYST SOFT COMPUT","ELSEVIER","N/A","2772-9419","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","216","3.6","Q2","0.62","98.61"%,
"Kunstliche Intelligenz","KUNSTL INTELL","SPRINGER HEIDELBERG","0933-1875","1610-1987","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","977","3.6","Q2","0.4","71.13"%,
"COMPUTER VISION AND IMAGE UNDERSTANDING","COMPUT VIS IMAGE UND","ACADEMIC PRESS INC ELSEVIER SCIENCE","1077-3142","1090-235X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","7,317","3.5","Q2","0.78","16.7"%,
"APPLIED INTELLIGENCE","APPL INTELL","SPRINGER","0924-669X","1573-7497","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","17,376","3.5","Q2","0.58","8.35"%,
